dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
2016-11-04,22.51,2085.179932,3837860000.0,17888.28,97.76,22642.619141,-0.380751,0.38,1,169.377822387896,48.2178726196289,2088.659912,-0.16661305078947697,-0.236410574730328
2016-11-07,18.71,2131.52002,3736060000.0,18259.6,93.45,22801.400391,-0.383836,0.41,1,169.377822387896,66.0113143920898,2085.179932,2.2223544015960606,2.075772516977592
2016-11-08,18.74,2139.560059,3916930000.0,18332.74,79.82,22909.470703,-0.383576,0.43,1,169.377822387896,89.6714172363281,2131.52002,0.3771974424148228,0.40055641963681055
2016-11-09,14.38,2163.26001,6264150000.0,18589.69,173.11,22415.189453,-0.382699,0.45,1,169.377822387896,50.1904220581055,2139.560059,1.1077020670818172,1.4015908151209011
2016-11-10,14.74,2167.47998,6451640000.0,18807.88,164.39,22839.109375,-0.381203,0.48,1,169.377822387896,71.2380142211914,2163.26001,0.19507456248868404,1.1737151076752994
2016-11-11,14.17,2164.449951,4988050000.0,18847.66,107.3,22531.089844,-0.379088,0.48,1,169.377822387896,94.9030303955078,2167.47998,-0.13979501669952876,0.2115070917083628
2016-11-14,14.48,2164.199951,5367200000.0,18868.69,112.25,22222.220703,-0.367584,0.55,1,169.377822387896,153.250457763672,2164.449951,-0.011550278623184695,0.1115788379034699
2016-11-15,13.37,2180.389893,4543860000.0,18923.06,100.66,22323.910156,-0.360108,0.51,1,169.377822387896,81.4565811157227,2164.199951,0.7480797692708263,0.28814930978251496
2016-11-16,13.72,2176.939941,3830590000.0,18868.14,87.32,22280.529297,-0.350568,0.47,1,169.377822387896,106.85701751709,2180.389893,-0.15822638011099288,-0.2902279018298426
2016-11-17,13.35,2187.120117,3809160000.0,18903.82,89.94,22262.880859,-0.338959,0.44,1,169.377822387896,59.9559783935547,2176.939941,0.46763697097327306,0.1891018404569733
2016-11-18,12.85,2181.899902,3572400000.0,18867.93,109.88,22344.210938,-0.325278,0.44,1,169.377822387896,92.1437454223633,2187.120117,-0.23867984933356734,-0.18985580692155724
2016-11-21,12.42,2198.179932,3607010000.0,18956.69,80.52,22357.779297,-0.271935,0.46,1,169.377822387896,118.517631530762,2181.899902,0.746140094927239,0.47042786357591737
2016-11-22,12.41,2202.939941,3957940000.0,19023.87,85.31,22678.070313,-0.250293,0.49,1,169.377822387896,100.061660766602,2198.179932,0.21654319242507825,0.35438676266794644
2016-11-23,12.43,2204.719971,3418640000.0,19083.18,77.88,22676.689453,-0.226739,0.51,1,169.377822387896,75.6825714111328,2202.939941,0.08080247522281869,0.3117662179146663
2016-11-25,12.34,2213.350098,1584600000.0,19152.14,45.89,22723.449219,-0.173859,0.49,1,169.377822387896,76.489128112793,2204.719971,0.3914386912404755,0.36136534896176187
2016-11-28,13.15,2201.719971,3505650000.0,19097.9,88.46,22830.570313,-0.0806365,0.48,1,169.377822387896,111.199264526367,2213.350098,-0.5254535651864956,-0.28320594983117786
2016-11-29,12.9,2204.659912,3706560000.0,19121.6,81.51,22737.070313,-0.0467749,0.48,1,169.377822387896,145.429794311523,2201.719971,0.13352928795322683,0.12409741385177586
2016-11-30,13.33,2198.810059,5533980000.0,19123.58,164.57,22789.769531,-0.011613,0.48,1,169.377822387896,120.172019958496,2204.659912,-0.2653403805348509,0.010354782026622544
2016-12-01,14.07,2191.080078,5063740000.0,19191.93,108.8,22878.230469,0.0248631,0.48,1,115.152050857694,146.614334106445,2198.810059,-0.3515529214704216,0.3574121581837675
2016-12-02,14.12,2191.949951,3779500000.0,19170.42,84.92,22564.820313,0.0590379,0.49,1,115.152050857694,64.8614654541016,2191.080078,0.03970064849452282,-0.11207835793483056
2016-12-05,12.14,2204.709961,3895230000.0,19216.24,317.8,22505.550781,0.148401,0.49,1,115.152050857694,85.2290115356445,2191.949951,0.5821305360635076,0.23901406437627504
2016-12-06,11.79,2212.22998,3855320000.0,19251.78,284.96,22675.150391,0.174529,0.49,1,115.152050857694,68.572265625,2204.709961,0.3410888113640542,0.18494773171024992
2016-12-07,12.22,2241.350098,4501820000.0,19549.62,385.2,22800.919922,0.19893,0.52,1,115.152050857694,103.347755432129,2212.22998,1.316324173493011,1.5470777247610368
2016-12-08,12.64,2246.189941,4200580000.0,19614.81,324.57,22861.839844,0.221615,0.51,1,115.152050857694,75.3998718261719,2241.350098,0.21593427123762776,0.33345916698126477
